User,Text,Sentiment,CleanText,VADER_Prediction,HF_Prediction
 UnforgivingSoul  ," Resentment festers, a wound that refuses to heal.  ",resentment,resentment festers a wound that refuses to heal,negative,Negative
 ThunderingMind   ," Frustration escalates, a thunderstorm of emotions. ",frustration,frustration escalates a thunderstorm of emotions,negative,Negative
 StagnantHeart    ," Boredom lingers, a stagnant pool of indifference.  ",boredom,boredom lingers a stagnant pool of indifference,negative,Negative
 InquisitiveMind   ," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",curiosity,embarking on a journey of discovery fueled by curiosity and a thirst for knowledge,neutral,Positive
 ApatheticObserver ," Lost in the vast sea of information, an indifferent wave in the digital ocean. ",indifference,lost in the vast sea of information an indifferent wave in the digital ocean,negative,Negative
 SeekingClarity    ," The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",confusion,the complex puzzle of life leaves me in a state of perpetual confusion seeking answers in the chaos,negative,Negative
 EmotionallyDistant ," A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",numbness,a numbness settles over me a shield against the overwhelming emotions life throws my way,negative,Negative
 SunsetDreamer     ," Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",melancholy,gazing at the sunset a melancholic longing for moments that slip through the fingers of time,negative,Positive
 MemoryLaneTraveler ," Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",nostalgia,revisiting old photographs caught in the embrace of nostalgias bittersweet symphony,positive,Positive
 MixedFeelings     ," Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",ambivalence,torn between conflicting emotions an ambivalence that paints my decisions in shades of uncertainty,negative,Negative
 ZenLifestyle      ," Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",acceptance,embracing the ebb and flow of life finding acceptance in the dance of existence,positive,Positive
 ResilientSpirit   ," Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",determination,facing challenges headon a determination that fuels the fire within to achieve the impossible,positive,Positive
 NatureSoul        ," Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",serenity,serenity found in the stillness of nature a tranquil retreat from the chaos of the modern world,negative,Positive
 EternalLearner    ," Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",curiosity,curiosity leading me down the rabbit hole of knowledge a perpetual student in lifes classroom,neutral,Negative
 AloofObserver     ," Floating through the day with an air of indifference, detached from the mundane happenings around. ",indifference,floating through the day with an air of indifference detached from the mundane happenings around,negative,Negative
 ThoughtExplorer   ," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",confusion,entangled in the web of thoughts confusion reigning as i navigate the labyrinth of ideas,negative,Positive
 StoicSoul         ," Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",numbness,numb to the chaos emotions locked away a stoic facade concealing the inner turmoil,negative,Negative
 DreamerInSilence  ," Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",melancholy,melancholy whispers in the breeze a silent conversation with the echoes of forgotten dreams,negative,Positive
 JournalKeeper     ," Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",nostalgia,stumbling upon an old journal nostalgia flooding in waves carrying me to moments long gone,neutral,Negative
 ThreadWeaver      ," A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",ambivalence,a tapestry of conflicting feelings weaving through uncertainty caught in the threads of ambivalence,negative,Positive
 SelfLoveAdvocate  ," Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",acceptance,embracing the flaws finding acceptance in imperfection a journey towards selflove,positive,Positive
 DreamChaser       ," Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",determination,determination burning like a wildfire overcoming obstacles turning dreams into reality,positive,Positive
 OceanSoul         ," Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",serenity,tranquil moments by the ocean serenity washing over a peaceful retreat within the waves embrace,positive,Positive
 HorizonExplorer   ," Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",curiosity,exploring new horizons with the spark of curiosity an adventurer in the vast landscape of knowledge,positive,Positive
 NonchalantSpirit  ," Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",indifference,drifting through the day with a nonchalant demeanor embracing the art of indifference,negative,Positive
 ComplexThinker    ," Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",confusion,wrestling with thoughts a perplexed mind lost in the labyrinth of lifes complexities,negative,Negative
 ShieldedHeart     ," Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",numbness,immersed in a state of emotional numbness a shield against the storm of daily struggles,negative,Negative
 SymphonySoul      ," A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",melancholy,a melancholic symphony playing in the background the soundtrack of a wistful heart,positive,Positive
 YearbookExplorer  ," Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",nostalgia,flipping through the pages of an old yearbook nostalgia painting smiles and tears on my face,positive,Positive
 DecisiveDilemma   ," Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",ambivalence,torn between opposing emotions an ambivalence that colors my decisions with shades of uncertainty,negative,Negative
 ImperfectHarmony  ," Embracing life's imperfections, finding acceptance in the journey, scars and all. ",acceptance,embracing lifes imperfections finding acceptance in the journey scars and all,positive,Positive
 VisionarySpirit   ," A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",determination,a fiery determination burning within fueled by the vision of reaching unparalleled heights,positive,Positive
 ForestDreamer     ," Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",serenity,basking in the serenity of a quiet forest where the whispers of nature bring peace to the soul,positive,Positive
 SilentSpectator   ," Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",indifference,indifferent to the noise of the world a silent observer in the midst of lifes cacophony,negative,Negative
 MazeNavigator     ," Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",confusion,navigating through the labyrinth of thoughts confusion a constant companion in the maze of ideas,negative,Positive
 ResilientFortress ," An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",numbness,an impenetrable numbness shields me from the emotional storms a fortress of stoic resilience,negative,Negative
 CanvasDreamer     ," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",melancholy,melancholy painting the world in hues of nostalgia a canvas of bittersweet memories,negative,Positive
